Nombre del anuncio,Resultados,Alcance,Impresiones,Coste_resultados,Importe_gastado,Dias_transcurridos,Clasificacion_descripcion,Lugar_descripcion,Objetivo_descripcion,Red_Social_descripcion,Name
24040401CVAATRISECVAHIDA18-MAHYMTHRFB Guerra Sucia,8840,16551,27912,0.13986,1236.36,0,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-06-abr-2024-6-abr-2024.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua,1029,1794,1841,0.066579,68.51,23,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-07-abr-2024-7-abr-2024.xlsx
24040101CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua,1067,1612,1661,0.065745,70.15,23,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-07-abr-2024-7-abr-2024.xlsx
24040101CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua,10952,21017,21550,0.066527,728.6,23,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-07-abr-2024-7-abr-2024.xlsx
24040605CVAATRIGENERHIDA18-MAHYMTHRFB Alma y Corazón Héctor,7148,30445,32847,0.067606,483.25,4,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-07-abr-2024-7-abr-2024.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua V2,1656,5032,5400,0.067899,112.44,22,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-08-abr-2024-8-abr-2024.xlsx
24040101CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua V2,1897,2752,2925,0.061455,116.58,22,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-08-abr-2024-8-abr-2024.xlsx
24040101CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua V2,31863,47297,53415,0.062547,1992.92,22,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-08-abr-2024-8-abr-2024.xlsx
24040605CVAATRIGENERHIDA18-MAHYMTHRFB Alma y Corazón Héctor V2,19701,76740,91366,0.06306,1242.34,3,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-08-abr-2024-8-abr-2024.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua V2,2886,6752,7173,0.062883,181.48,21,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-09-abr-2024-9-abr-2024.xlsx
24040101CVAATRIAMBIEHIDA18-34HYMTHRFB Defendamos Agua V2,3482,5747,6179,0.062022,215.96,21,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-09-abr-2024-9-abr-2024.xlsx
24040101CVAATRIGENERHIDA18-MAHYMTHRFB Defendamos Agua V2,28963,48630,53418,0.061858,1791.59,21,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-09-abr-2024-9-abr-2024.xlsx
24040901CVAATRIGENERHIDA18-MAHYMTHRFB Sheinbaum Agua,19999,61516,73550,0.048246,964.87,2,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-09-abr-2024-9-abr-2024.xlsx
24040901CVAATRIGENERHIDA18-MAHYMTHRFB Sheinbaum Agua,802,2455,2489,0.042007,33.69,1,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-10-abr-2024-10-abr-2024.xlsx
24040903CVAATRIGENERHIDA18-MAHYMTHRFB Xótchil Grutas,57,302,307,0.055088,3.14,1,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-10-abr-2024-10-abr-2024.xlsx
24040101CVAATRIPADFAHIDA25-44HYMTHRFB Defendamos Agua V2,58,126,126,0.06,3.48,20,Atributos,Hidalgo,ThruPlay,Facebook,CVA Púrpura-Analytics-Anuncios-10-abr-2024-10-abr-2024.xlsx
